Name,SYMBOL,NAME OF COMPANY, SERIES
CKFSL.NS,CKFSL,Cox & Kings Financial Service Limited,BZ
CLEDUCATE.NS,CLEDUCATE,CL Educate Limited,EQ
CLNINDIA.NS,CLNINDIA,Clariant Chemicals (India) Limited,EQ
CMICABLES.NS,CMICABLES,CMI Limited,EQ
CNOVAPETRO.NS,CNOVAPETRO,CIL Nova Petrochemicals Limited,BE
COALINDIA.NS,COALINDIA,Coal India Limited,EQ
COCHINSHIP.NS,COCHINSHIP,Cochin Shipyard Limited,EQ
COFFEEDAY.NS,COFFEEDAY,Coffee Day Enterprises Limited,BZ
COLPAL.NS,COLPAL,Colgate Palmolive (India) Limited,EQ
COMPINFO.NS,COMPINFO,Compuage Infocom Limited,EQ
COMPUSOFT.NS,COMPUSOFT,Compucom Software Limited,BE
CONCOR.NS,CONCOR,Container Corporation of India Limited,EQ
CONFIPET.NS,CONFIPET,Confidence Petroleum India Limited,EQ
CONSOFINVT.NS,CONSOFINVT,Consolidated Finvest & Holdings Limited,EQ
CONTROLPR.NS,CONTROLPR,Control Print Limited,EQ
CORALFINAC.NS,CORALFINAC,Coral India Finance & Housing Limited,EQ
CORDSCABLE.NS,CORDSCABLE,Cords Cable Industries Limited,EQ
COROMANDEL.NS,COROMANDEL,Coromandel International Limited,EQ
COSMOFILMS.NS,COSMOFILMS,Cosmo Films Limited,EQ
COUNCODOS.NS,COUNCODOS,Country Condo's Limited,EQ
COX&KINGS.NS,COX&KINGS,Cox & Kings Limited,BZ
CREATIVE.NS,CREATIVE,Creative Peripherals and Distribution Limited,EQ
CREATIVEYE.NS,CREATIVEYE,Creative Eye Limited,EQ
CREDITACC.NS,CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ
CREST.NS,CREST,Crest Ventures Limited,EQ
CRISIL.NS,CRISIL,CRISIL Limited,EQ
CROMPTON.NS,CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ
CSBBANK.NS,CSBBANK,CSB Bank Limited,EQ
CTE.NS,CTE,Cambridge Technology Enterprises Limited,EQ
CUB.NS,CUB,City Union Bank Limited,EQ
